GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-statistics,com.irurueta.statistics,StatisticsException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-statistics,com.irurueta.statistics,Erf,9,292,3,15,3,27,3,12,0,6
com.irurueta:irurueta-statistics,com.irurueta.statistics,BuildInfo,6,107,1,3,2,28,1,11,0,10
com.irurueta:irurueta-statistics,com.irurueta.statistics,UniformRandomizer,0,347,0,28,0,83,0,46,0,32
com.irurueta:irurueta-statistics,com.irurueta.statistics,RandomizerType,0,15,0,0,0,3,0,1,0,1
com.irurueta:irurueta-statistics,com.irurueta.statistics,MaxIterationsExceededException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-statistics,com.irurueta.statistics,GaussLegendreQuadrature,0,154,0,0,0,4,0,2,0,2
com.irurueta:irurueta-statistics,com.irurueta.statistics,Gamma,211,700,30,62,32,111,26,36,1,15
com.irurueta:irurueta-statistics,com.irurueta.statistics,ChiSqDist,0,171,0,16,0,32,0,21,0,13
com.irurueta:irurueta-statistics,com.irurueta.statistics,Randomizer,0,229,0,30,0,67,0,37,0,22
com.irurueta:irurueta-statistics,com.irurueta.statistics,GaussianRandomizer,4,148,1,9,1,34,1,20,0,16
com.irurueta:irurueta-statistics,com.irurueta.statistics,NormalDist,0,276,0,16,0,65,0,35,0,27
